label_id,label_name,support,accuracy,precision,recall,f1,latency_mean_ms,latency_median_ms,latency_p95_ms
0,thumbs_up,2875,0.9954782608695653,0.9951321279554938,0.9954782608695653,0.9953051643192489,0.3795405,0.3421,0.5622149999999998
1,thumbs_down,2855,0.9978984238178634,0.991991643454039,0.9978984238178634,0.9949362668063558,0.34824749999999993,0.32025,0.5112599999999999
2,stop,2860,0.9947552447552448,0.9827288428324698,0.9947552447552448,0.9887054735013032,0.379893,0.34495,0.6149249999999997
3,ok,2985,0.9979899497487437,0.9973217274857716,0.9979899497487437,0.9976557267247154,0.37797149999999996,0.35309999999999997,0.5520049999999999
4,call,2651,0.992832893247831,0.9977255496588324,0.992832893247831,0.995273208546039,0.34912400000000005,0.31745,0.5166349999999997
5,rock,3087,0.9957887917071591,0.9980519480519481,0.9957887917071591,0.9969190854548403,0.3497135,0.31884999999999997,0.501535
6,mute,2974,0.9878950907868191,0.9667653833497861,0.9878950907868191,0.9772160319308165,0.35670900000000005,0.3264,0.5179499999999998
7,fist,2848,0.9961376404494382,0.9912648497554158,0.9961376404494382,0.9936952714535902,0.356644,0.3284,0.5123149999999999
8,peace,5782,0.00017295053614666206,0.3333333333333333,0.00017295053614666206,0.00034572169403630077,0.35274049999999996,0.31715000000000004,0.5110799999999998
9,open_palm,3001,0.0,0.0,0.0,0.0,0.3470845,0.32205,0.481935
10,count_1,3052,0.9610091743119266,0.9852200201545179,0.9610091743119266,0.9729640072980594,0.4018415,0.35035,0.6426649999999998
11,count_2,5782,0.9970598408855067,0.49818527480124436,0.9970598408855067,0.6644001382966463,0.34389200000000003,0.3208,0.4830649999999999
12,count_3,2870,0.9895470383275261,0.9964912280701754,0.9895470383275261,0.993006993006993,0.36602,0.3247,0.5450999999999998
13,count_4,2998,0.9963308872581721,0.9963308872581721,0.9963308872581721,0.9963308872581721,0.40191599999999994,0.3604,0.5743549999999991
14,count_5,3001,0.9920026657780739,0.49849296718017416,0.9920026657780739,0.6635461941379694,0.347407,0.32094999999999996,0.5076749999999999
15,count_6,3,1.0,1.0,1.0,1.0,0.3315666666666667,,
16,count_7,9,1.0,1.0,1.0,1.0,0.31825555555555557,0.2984,0.397
17,count_8,5,1.0,1.0,1.0,1.0,0.43818,0.4585,0.57174
18,count_9,3,1.0,1.0,1.0,1.0,0.3720666666666667,,
19,count_10,4,1.0,1.0,1.0,1.0,0.33747499999999997,,
20,count_11,4,1.0,1.0,1.0,1.0,0.3708,,
21,count_12,4,1.0,1.0,1.0,1.0,0.384375,,
22,count_13,6,1.0,1.0,1.0,1.0,0.33653333333333335,0.3452,0.40825
23,count_14,5,1.0,1.0,1.0,1.0,0.33746,0.3212,0.41854
24,count_15,5,1.0,1.0,1.0,1.0,0.31883999999999996,0.3026,0.36629999999999996
25,count_16,4,1.0,1.0,1.0,1.0,0.3909,,
26,count_17,3,1.0,1.0,1.0,1.0,0.3495333333333333,,
27,count_18,2,1.0,1.0,1.0,1.0,0.2862,,
